"nombre_rh","codigo","descripcion","altitud","categoria","estado","cuenca","coordenadas"
"Quebrada Ancoma","QAnco1","Quebrada Ancoma, aguas arriba del puente Ancoma.",3500,"C1A2","Inactivo","CAPLINA","-17.6194020146595,-69.9567123418315"
"Quebrada Aruma","QArum1","Quebrada Aruma, frente a zona baja del nevado Chuquipiña.",4485,"C1A2","Inactivo","CAPLINA","-17.7028083679305,-69.8347477561606"
"Quebrada Palca","QPalc1","Quebrada Palca, aprox. 50 m. aguas abajo del centro poblado Causuri.",3109,"C1A2","Inactivo","CAPLINA","-17.7672902941115,-69.9415164770789"
"Quebrada Palca","QPalc2","Quebrada Palca, zona el Olivar.",2700,"C1A2","Inactivo","CAPLINA","-17.7949985421137,-69.978719477989"
"Quebrada Piscullane","QPisc1","Quebrada Piscullane, aguas arriba de la intersección con la trocha carrozable de la zona de Paso de los vientos hacia el poblado Talabaya.",4558,"C1A2","Inactivo","CAPLINA","-17.6100580885357,-69.8327463760227"
"Quebrada Toquela","QToqu1","Quebrada Toquela, a 400 m aguas arriba del puente Toquela - Challaviento.",3284,"C1A2","Inactivo","CAPLINA","-17.6470810446094,-69.9444624497621"
"Quebrada Toquela","QToqu2","QuebradaToquela, aprox. 3 Km aguas abajo del vertimiento Challaviento.",3151,"C1A2","Inactivo","CAPLINA","-17.6478091253734,-69.9490570037753"
"Río Caplina","RCapl1","Río Caplina, aprox. 20 m aguas arriba del puente Caplina (Ex Chontaque), Sector Totoroco.",3448,"C1A2","Activo","CAPLINA","-17.6919297185605,-69.9249335213402"
"Río Caplina","RCapl2","Rio Caplina, aprox. 500m aguas abajo del centro Poblado Caplina.",3218,"C1A2","Inactivo","CAPLINA","-17.6921188114414,-69.9422177514354"
"Río Caplina","RCapl3","Río Caplina, aguas arriba de la bocatoma Challata.",1540,"C1A2","Activo","CAPLINA","-17.8151375083894,-70.0989293370033"
"Río Caplina","RCapl4","Rio Caplina aprox. 3km aguas abajo del santuario Pallagua.",1865,"C1A2","Inactivo","CAPLINA","-17.765513558143,-70.0610658044469"
"Río Caplina","RCapl5","Rio Caplina, aguas debajo de la unión del rio Caplina con Qda. Palca.",1222,"C1A2","Inactivo","CAPLINA","-17.8714108566209,-70.1325623137357"
"Laguna Suches","LSuch4S","Laguna Suches, en la orilla cerca al campamento minero SPCC.",4467,"C4E2","Inactivo","LOCUMBA","-16.9383706771208,-70.3893661470063"
"Quebrada Caracara","QCara1","Quebrada Caracara, de afloramiento geotermal a la margen izquierda del rio Callazas.",4369,"C4E2","Inactivo","LOCUMBA","-17.0242999758234,-70.2643569379042"
"Quebrada Azufre Chico","QAchi1","Quebrada Azufre Chico, de afloramiento geotermal a la margen derecha del rio Callazas.",4120,"C4E2","Inactivo","LOCUMBA","-17.1135838855335,-70.2885766562894"
"Río Jaruma","RJaru1","Rio Jaruma, a 150 m aguas arriba de la sección hidrometrica la Yesera.",2826,"C4E2","Activo","LOCUMBA","-17.3315432696918,-70.2247201807139"
"Río Callazas","RCall1","Rio Callazas, aguas abajo de la confluencia con la quebrada Azufre Chico.",4103,"C4E2","Activo","LOCUMBA","-17.1143371387927,-70.2880837251789"
"Río Callazas","RCall2","Rio Callazas, aguas abajo del vertimiento del centro poblado Aricota.",2787,"C4E2","Inactivo","LOCUMBA","-17.3363179461405,-70.2418589013437"
"Río Callazas","RCall3","Rio Callazas, aguas abajo de la confluencia con el rio Jaruma antes del ingreso de la Laguna Aricota.",2763,"C4E2","Activo","LOCUMBA","-17.3411454700794,-70.2445261858823"
"Río Curibaya","RCuri1","Rio Curibaya aguas abajo del campamento Chintari de la Central Hidroelectrica Aricota II.",1710,"C3D1","Inactivo","LOCUMBA","-17.4236303113543,-70.4036534065552"
"Río Curibaya","RCuri2","Rio Curibaya aguas arriba de la confluencia con el rio Ilabaya.",1087,"C3D1","Activo","LOCUMBA","-17.4750912753552,-70.5420318315987"
"Río Ilabaya","RIlab1","Rio Ilabaya, a 1 km aguas arriba del puente Chejaya.",1516,"C3D1","Inactivo","LOCUMBA","-17.3919746780209,-70.4944161350345"
"Río Ilabaya","RIlab2","Rio Ilabaya, aguas abajo del vertimiento de la PTAR de Ilabaya.",1340,"C3D1","Activo","LOCUMBA","-17.4242533387202,-70.5088364048771"
"Río Salado","RSala1","Rio Salado, aguas debajo de confluencia de los rios Ilabaya con Curibaya.",1096,"C3D1","Inactivo","LOCUMBA","-17.4772667915856,-70.5423232229368"
"Río Salado","RSala2","Rio Salado, aguas abajo del Puente Francisco Antonio de Zela.",1010,"C3D1","Activo","LOCUMBA","-17.494041626438,-70.5604131811937"
"Río Locumba","RLocu3","Rio Locumba, aguas abajo de los vertimientos de Villa Locumba y E.T. PNP Locumba.",537,"C3D1","Activo","LOCUMBA","-17.6210889072575,-70.7725958358718"
"Río Locumba","RLocu4","Rio Locumba, aguas abajo del puente Camiara.",403,"C3D1","Inactivo","LOCUMBA","-17.685498348727,-70.8428263804723"
"Río Locumba","RLocu5","Rio Locumba, aguas arriba de la bocatoma de ITE.",282,"C3D1","Activo","LOCUMBA","-17.7463682296855,-70.8855286783691"
"Quebrada Honda","QHond1","Quebrada Honda, aguas arriba del centro poblado Pampa Sitana (km. 15).",892,"C3D1","Inactivo","LOCUMBA","-17.5267247798098,-70.8475443145831"
"Río Calumbraya","RCalu1","Rio Calumbraya, aguas arriba de su confluencia con el rio Ilabaya.",1388,"C3D1","Inactivo","LOCUMBA","-17.4217045356913,-70.5124772331369"
"Río Cinto","RCint1","Rio Cinto, aguas arriba del puente Higuerani.",2425,"C3D1","Inactivo","LOCUMBA","-17.3483414329348,-70.5507638524072"
"Quebrada Boroqueña","QBoro1","Quebrada Boroqueña, sector Ancocruz, aguas arriba del puente Boroqueña.",2812,"C3D1","Inactivo","LOCUMBA","-17.3131644032929,-70.4327298414072"
"Río Calientes","RCali1","Rio Calientes, aguas arriba de la bocatoma Chiquitoma.",4396,"C4E2","Inactivo","LOCUMBA","-17.0987903324439,-70.1310135630666"
"Río Callazas","RCall0","Río Callazas, antes de la confluencia con el río Caracara.",4369,"C4E2","Inactivo","LOCUMBA","-17.024118353536,-70.2644966276224"
"Río Locumba","RLocu6","Rio Locumba, ingreso a humedales de Ite (puente Costanera).",9,"C3D1","Activo","LOCUMBA","-17.906762310139,-70.9578619012823"
"Laguna Suches","LSuch1S","Laguna Suches, al interior parte media a 1,5 km del campamento en dirección al muelle, nivel superficie.",4460,"C4E2","Activo","LOCUMBA","-16.9334836883302,-70.4022683765231"
"Laguna Suches","LSuch1F","Laguna Suches, al interior parte media a 1,5 km del campamento en dirección al muelle, nivel fondo.",4460,"C4E2","Activo","LOCUMBA","-16.9334836883302,-70.4022683765231"
"Laguna Suches","LSuch2S","Laguna Suches, cerca tributarios y bofedal Huaytire, nivel superficie.",4460,"C4E2","Activo","LOCUMBA","-16.9188931413957,-70.3829893852266"
"Laguna Suches","LSuch2F","Laguna Suches, cerca tributarios y bofedal Huaytire, nivel fondo.",4460,"C4E2","Activo","LOCUMBA","-16.9188931413957,-70.3829893852266"
"Laguna Suches","LSuch3S","Laguna Suches, al interior a 1 km del muelle en linea recta, nivel superficie.",4459,"C4E2","Inactivo","LOCUMBA","-16.9229580002601,-70.4058050073987"
"Laguna Suches","LSuch3F","Laguna Suches, al interior a 1 km del muelle en linea recta, nivel fondo.",4459,"C4E2","Inactivo","LOCUMBA","-16.9229580002601,-70.4058050073987"
"Río Huaytire","RHuay1","Río Huaytire, tributario a Laguna Suches.",4519,"C4E2","Activo","LOCUMBA","-16.874465235197,-70.3843081861339"
"Laguna Aricota","LAric1S","Laguna Aricota, cerca de las jaulas flotantes, nivel superficie.",2734,"C4E2","Activo","LOCUMBA","-17.361445381995,-70.3120927375217"
"Laguna Aricota","LAric1F","Laguna Aricota, cerca de las jaulas flotantes, nivel fondo.",2734,"C4E2","Activo","LOCUMBA","-17.361445381995,-70.3120927375217"
"Laguna Aricota","LAric2S","Laguna Aricota, región central, nivel superficie.",2734,"C4E2","Activo","LOCUMBA","-17.357334978146,-70.2882262017902"
"Laguna Aricota","LAric2F","Laguna Aricota, región central, nivel fondo.",2734,"C4E2","Activo","LOCUMBA","-17.357334978146,-70.2882262017902"
"Laguna Aricota","LAric3S","Laguna Aricota, cerca de ingreso del río Callazas, nivel superficie.",2734,"C4E2","Activo","LOCUMBA","-17.3472218905754,-70.2727416082664"
"Laguna Aricota","LAric3F","Laguna Aricota, cerca de ingreso del río Callazas, nivel fondo.",2734,"C4E2","Activo","LOCUMBA","-17.3472218905754,-70.2727416082664"
"Laguna Aricota","LAric4S","Laguna Aricota, cerca de caseta de bombeo EGESUR,  nivel superficie.",2734,"C4E2","Inactivo","LOCUMBA","-17.3691684528385,-70.3016164995504"
"Laguna Aricota","LAric4F","Laguna Aricota, cerca de caseta de bombeo EGESUR, nivel fondo.",2734,"C4E2","Inactivo","LOCUMBA","-17.3691684528385,-70.3016164995504"
"Quebrada Culcavira","QCulc1","Quebrada Culcavira, ingreso a la represa Paucarani.",4557,"C4E2","Inactivo","USHUSUMA","-17.5251801511321,-69.777003122244"
"Quebrada Curimani","QCuri1","Quebrada Curimani, ingreso a la represa Paucarani.",4559,"C4E2","Inactivo","USHUSUMA","-17.527718395361,-69.7796988346198"
"Quebrada Uncalluta","QUnca1","Quebrada Uncalluta, aguas arriba de la unión con el rio Ushusuma.",4501,"C4E2","Inactivo","USHUSUMA","-17.5390179650472,-69.7391882348896"
"Río Ushusuma","RUshu1","Rio Ushusuma, aguas arriba de intersección de camino con el rio Ushusuma - Sector Calacollo.",4336,"C4E2","Inactivo","USHUSUMA","-17.5766984341113,-69.6893312984411"
"Río Ushusuma","RUshu2","Rio Ushusuma, camino afirmado aguas arriba de bocatoma del canal Uchusuma.",4263,"C4E2","Activo","USHUSUMA","-17.5760345991004,-69.6365953147428"
"Quebrada Carini","QCari1","Quebrada Carini, salida de la represa Paucarani.",4260,"C4E2","Activo","USHUSUMA","-17.5345800024624,-69.7630622386011"
"Quebrada Carini","QCari2","Quebrada Carini, aproximadamente a 100 metros de la confluencia con la Quebrada Uncalluta.",4483,"C4E2","Inactivo","USHUSUMA","-17.5393334271249,-69.7394250483383"
"Embalse Paucarani","EPauc1S","Embalse Paucarani, al centro del espejo de agua, nivel superficie.",4555,"C4E2","Activo","USHUSUMA","-17.5321761150749,-69.7723130050827"
"Embalse Paucarani","EPauc1F","Embalse Paucarani, al centro del espejo de agua, nivel fondo.",4555,"C4E2","Activo","USHUSUMA","-17.5321761150749,-69.7723130050827"
"Embalse Paucarani","EPauc2S","Embalse Paucarani, cerca de la presa de concreto, nivel superficie.",4555,"C4E2","Activo","USHUSUMA","-17.5337867022704,-69.7648677654417"
"Embalse Paucarani","EPauc2F","Embalse Paucarani, cerca de la presa de concreto, nivel fondo.",4555,"C4E2","Activo","USHUSUMA","-17.5337867022704,-69.7648677654417"
"Rio Quilvire","RQuiv1","Rio Quilvire, aprox. 500 m aguas arriba de la laguna Vilacota.",4569,"C4E2","Inactivo","MAURI","-17.0784602700574,-70.0422754396859"
"Rio Mauri","RMaur1","Rio Mauri, aguas abajo de la confluencia del rio Ancoaque con Laguna Tacata.",4419,"C4E2","Inactivo","MAURI","-17.1820540569424,-69.9607305502803"
"Quebrada Putina","QPuti1","Quebrada Putina, aprox. 100 m  antes de la confluencia con el rio Mauri.",4336,"C4E2","Inactivo","MAURI","-17.2169454307603,-69.9133613121766"
"Rio Mauri","RMaur3","Rio Mauri, aprox, 10 m aguas abajo de los baños termales Calachaca.",4395,"C4E2","Activo","MAURI","-17.2323916002723,-69.8622435413713"
"Rio Mauri","RMaur4","Río Mauri, aprox. 100 m antes de la confluencia con el río Chiliculco.",4243,"C4E2","Activo","MAURI","-17.2452780558547,-69.7809773702879"
"Rio Mauri","RMaur5","Rio Mauri, aguas abajo de la confluencia del rio Mauri con el rio Callapuma.",4227,"C4E2","Inactivo","MAURI","-17.2841082645564,-69.7128836204743"
"Rio Mauri","RMaur7","Rio Mauri, aguas abajo de la confluencia con el río Chiliculco.",4243,"C4E2","Inactivo","MAURI","-17.2453750813034,-69.7792658349628"
"Laguna Vilacota","LVila1S","Laguna Vilacota, parte media del espejo de agua.",4434,"C4E2","Inactivo","MAURI","-17.1385994228407,-70.0407301424139"
"Laguna Vilacota","LVila2S","Laguna Vilacota, parte media del espejo de agua.",4434,"C4E2","Inactivo","MAURI","-17.1491623216107,-70.0359851339291"
"Quebrada Vilavilani","QVila1","Quebrada Vilavilani, a la Salida del Túnel Huaylillas.",4232,"C1A2","Activo","INTERCUENCA13155","-17.8115478253118,-69.8213915595813"
"Quebrada  Vilavilani","QVila2","Quebrada Vilavilani, aprox. 6 km. Aguas arriba del poblado Vilavilani - Intersección con trocha carrozable.",3823,"C1A2","Inactivo","INTERCUENCA13155","-17.8365035012304,-69.8567709231059"
"Quebrada Vilavilani","QVila3","Quebrada Vilavilani, aprox.  500 m aguas abajo del puente poblado Vilavilani",3412,"C1A2","Activo","INTERCUENCA13155","-17.8475799998389,-69.9095968099367"
"Río Uchusuma","RUchu1","Río Uchusuma, 200 m aguas arriba de bocatoma Chuschuco",1539,"C1A2","Activo","INTERCUENCA13155","-17.9138378281023,-70.0493137640401"
"Quebrada Cachitala","QCach1","Quebrada Cachitala, a la altura del complejo Baños de Putina",3321,"C3D1","Inactivo","SAMA","-17.4343194565511,-70.0382597563401"
"Río Pistala","RPist1","Rio Pistala, antes dela confluencia con el rio Aruma.",2418,"C3D1","Activo","SAMA","-17.4986499477506,-70.098959934908"
"Río Estique","REsti1","Rio Estique, a la altura del puente Estique (80 m aguas abajo del puente).",3003,"C3D1","Inactivo","SAMA","-17.5310444321188,-70.0345224018873"
"Río Aruma","RArum1","Rio Aruma, antes de confluencia con el rio Pistala.",2457,"C3D1","Inactivo","SAMA","-17.499347654051,-70.0986344795918"
"Río Tala","RTala1","Rio Tala antes de confluencia con el rio Salado",2189,"C3D1","Activo","SAMA","-17.4745993538525,-70.16887933258"
"Río Salado","RSala1","Rio Salado, aguas abajo de la ciudad de Sitajara.",2891,"C3D1","Inactivo","SAMA","-17.3799737079748,-70.1410662425208"
"Río Salado","RSala2","Rio Salado antes de la confluencia con el rio Tala.",2171,"C3D1","Activo","SAMA","-17.474039772472,-70.1702883189479"
"Río Sama","RSama1","Rio Sama, despues de confluencia del rio Salado y Tala.",2166,"C3D1","Inactivo","SAMA","-17.4749055646288,-70.1721301871378"
"Río Sama","RSama2","Rio Sama, altura del puente Putina.",1912,"C3D1","Activo","SAMA","-17.4945418765803,-70.2249216205273"
"Río Sama","RSama3","Rio Sama Puente Coruca.",837,"C3D1","Activo","SAMA","-17.6332495607918,-70.4546793852594"
"Río Sama","RSama4","Rio Sama antes de la captacion de la Bocatoma La Tranca.",631,"C3D1","Inactivo","SAMA","-17.7428627508393,-70.4716402971231"
"Río Sama","RSama5","Rio Sama, antes de la Captacion de la Bocatoma ""El Golpe""",279,"C3D1","Activo","SAMA","-17.9333197915972,-70.6032688518239"
"Río Sama","RSama6","Rio Sama, Agua de afloramiento en el sector Boca del rio.",15,"C3D1","Inactivo","SAMA","-18.1571416432562,-70.6693231219954"
"Quebrada Kovire","QKovi1","Quebrada Kovire, a 100 m de la salida del tunerl Kovire.",4363,"C3D1","Activo","SAMA","-17.2380464401457,-70.0087242552015"
"Río Ticalaco","RTica2","Rio Ticalaco, aguas arriba de la bocatoma Irabalaco.",3584,"C3D1","Activo","SAMA","-17.4375053528974,-69.9966797722883"
"Quebrada Caparaja","QCapa1","Quebrada Caparaja, aguas arriba del sector Caparaja.",4147,"C3D1","Inactivo","SAMA","-17.444430429486,-69.9347880231402"
"Río Tarata","RTara1","Rio Tarata,  a 20 m aproximadamente de la carretera Tacna - Tarata",3114,"C3D1","Inactivo","SAMA","-17.4665521195216,-70.0236481203479"
"Río Salado","RSala3","Rio Salado, aguas arriba del dique Cano",4162,"C3D1","Inactivo","SAMA","-17.2725083730268,-70.0648556397674"
"Río Ticalaco","RTica1","Río Ticalaco, aguas arriba del puente",3090,"C3D1","Inactivo","SAMA","-17.4505472176061,-70.0321463241664"
"Embalse Jarumas","EJaru1S","Embalse Jarumas, cerca de la presa de concreto.",4515,"C4E2","Activo","SAMA","-17.3688880143045,-69.9484753236926"
"Embalse Jarumas","EJaru1F","Embalse Jarumas, cerca de la presa de concreto.",4515,"C4E2","Activo","SAMA","-17.3688880143045,-69.9484753236926"
"Embalse Jarumas","EJaru2S","Embalse Jarumas, al centro del espejo de agua.",4514,"C4E2","Activo","SAMA","-17.3620734909699,-69.9560073983158"
"Embalse Jarumas","EJaru2F","Embalse Jarumas, al centro del espejo de agua.",4514,"C4E2","Activo","SAMA","-17.3620734909699,-69.9560073983158"
"Rio Jarumas","RJaru1","Río Jarumas, salida del embalse Jarumas.",4506,"C4E2","Activo","SAMA","-17.3696549698431,-69.9468415374819"
"Rio Mamaraya","RMama1","Rio Mamaraya, afluente al embalse Jarumas.",4522,"C4E2","Activo","SAMA","-17.3474257770545,-69.9515459017064"
